Section,Type,Question,Format,Mandatory,Conditional,Diff from original,Source of information,Change for each country?,Comment
2,currentEmp9,When did you start your current contract,Datetime,Y,,modified,,,Change the type of answer from FREETEXT to datetime
2,currentEmp10,What type of contract are you employed on?,Drop down list,Y,,modified,Lost source but modified,,Added ‘Other/Not listed’
2,currentEmp11,What is the duration of your current contract?,FREENUMERIC,Y,if “fixed term” in currentEmp7,same,,,
3,,Is this your first job?,Y/N/NA,Y,,removed,,,removed to create the prevEmp1 to reword and include academia in the possible answers
3,,Have you previously worked in the private sector?,Y/N/NA,Y,,removed,,,Get merge into prevEmp1
3,prevEmp1,What was your previous job?,Drop down list,Y,,added,,,
3,,Why did you leave the private sector?,Drop down list,Y,If yes to prevEmp1,removed,several website see reference in collaboration.md,,Asked if it was at uni or in private sector rather than just in private sector
3,,What was the official job title of your previous job,FREETEXT,Y,,removed,,,We don't glean much from this question
,,How important were the following features to your decision to accept your current position?,Drop down list,Y,,added,"RSE interviews, review main features that people liked in their job",,Want to get more info on what parts of the job attracted people to the position
3,,What was the type of your contract?,Drop down list,y,If yes to prevEmp2,removed,same items as for currentEmp9,,We don't glean much from this question
4,currentWork1,Do you work within a group that provides software development help or expertise to researchers from across your organisation?,Y/N/NA,y,,changed,,,Updated English
4,currentWork2,What percentage of your time do you spend developing software each week?,FREENUMERIC,Y,,same,,,
4,paper1,Has your software contributed to research that has been published in a journal or at a conference?,Y/N/NA,Y,,same,,,
4,paper2,"In general, when your software contributes to a paper, are you acknowledged in that paper?",Y/N/NA,Y,,changed,,,Changed phrasing to be more general
4,paper3,Are you generally named as the main author of the paper?,Y/N/NA,Y,if yes to paper2,changed,,,Changed phrasing to be more general
4,paper4,Are you generally named as a co-author of the paper?,Y/N/NA,Y,if no to paper3,changed,,,Changed phrasing to be more general
4,paper5,Are you generally acknowledged in the main paper?,Y/N/NA,Y,if no to paper4,changed,,,Changed phrasing to be more general
4,stability1,What is the bus factor of your most important software project?,Drop down list,Y,,same,,,
4,stability2,Is there a technical hand-over plan for your most important software project?,Y/N/NA,Y,,same,,,
5,perfCheck1,Do you receive sufficient information on the results of your work?,Likert (Time),Y,,same,,,
5,perfCheck2,Does your work give you the opportunity to check on how well you are doing your work?,Likert (Time),Y,,same,,,
5,perfCheck3,"In your work, do you have access to sufficient data and information?",Likert (Time),Y,,same,,,
5,perfCheck4,Do you receive sufficient information on the purpose of your work?,Likert (Time),Y,,same,,,
5,perfCheck5,Does your work provide you with direct feedback on how well you are doing your work?,Likert (Time),Y,,same,,,
5,perfCheck6,Does your supervisor/line manager inform you about how well you are doing your work?,Likert (Time),Y,,same,,,
5,perfCheck7,Do your colleagues inform you about how well you are doing your work?,Likert (Time),Y,,same,,,
5,turnOver1,How often do you feel frustrated when not given the opportunity to achieve your personal work-related goals?,Likert (Time),Y,,same,,,
5,turnOver2,How often do you look forward to another day at work?,Likert (Time),Y,,same,,,
5,turnOver3,How often do you consider leaving your job?,Likert (Time),Y,,same,,,
5,turnOver4,How often do dream about getting another job that will better suit your needs?,Likert (Time),Y,,same,,,
5,turnOver5,My current job satisfies my personal needs,Likert (Agree),Y,,same,,,
5,turnOver6,I would accept another job at the same compensation level if I was offered it,Likert (Agree),Y,,same,,,
5,affRec1,I am satisfied with my supervisor/line manager's confidence in me,Likert (Agree),Y,,same,,,
5,affRec2,I am satisfied with a word of thanks from my supervisor/line manager,Likert (Agree),Y,,same,,,
5,affRec3,I am satisfied with the recognition I receive from my supervisor/line manager for doing my job,Likert (Agree),Y,,same,,,
5,affRec4,I am satisfied with the compliments from my supervisor/line manager concerning my work,Likert (Agree),Y,,same,,,
5,affRec5,I am satisfied with the encouragement from my supervisor/line manager while doing my job,Likert (Agree),Y,,same,,,
5,percEmp1,It would not be very difficult for me to get an equivalent job in a different organisation,Likert (Agree),Y,,same,,,
5,percEmp2,I can think of a number of organisations that would probably offer me a job,Likert (Agree),Y,,same,,,
5,percEmp3,My experience is in demand on the labour market,Likert (Agree),Y,,same,,,
5,percEmp4,"Given my qualifications and experience, getting a new job would not be very hard at all",Likert (Agree),Y,,same,,,
5,affSat1,I find real enjoyment in my job,Likert (Agree),Y,,same,,,
5,affSat2,Most days I am enthusiastic about my job,Likert (Agree),Y,,same,,,
5,affSat3,I feel fairly well satisfied with my job,Likert (Agree),Y,,same,,,
5,affSat4,I like my job better than the average person,Likert (Agree),Y,,same,,,
6,skill1,"In your opinion, what are the three most important skills that a Research Software Engineer must possess?",3 FREETEXT (skills),Y,,same,,,
6,skill2,What three skills would you like to acquire or improve to help your work as a Research Software Engineer? The skills can be technical and non-technical.,3 FREETEXT (skills),Y,,same,,,
6,tool1,What are the three tools or services you use most often to achieve your work?,3 FREETEXT (skills),Y,,same,,,
6,tool2,What is your Operating System of choice for use at work?,Drop down list,Y,,same,,,
6,socio2,Please select your gender,Drop down list,Y,,same,https://www.gov.uk/service-manual/user-centred-design/resources/patterns/gender-and-sex.html,Y,
6,socio3,Please select your ethnicity,Drop down list,,,added,,Y,We need to start investigating ethnicity too
6,socio4,Please select your age,Drop down list,Y,,same,,Y,
6,socio4,Please select the range of your salary,Drop down list,Y,,same,,Y,
6,ukrse1,Are you a member of the UK RSE Association? (Members are people who have signed up to the UK RSE mailing list),Y/N/NA,Y,,same,,,
